title,date,role,desc,url,img,include
Demand for anti-racist literature is up. These black bookstore owners hope it lasts.,"Jul 2, 2020",Reporter,"Data show a rise in interest in anti-racist and social justice titles following George Floyd’s death. As black-owned bookstores are scrambling to keep up with demand, they’re hopeful it continues.",https://www.washingtonpost.com/graphics/2020/business/black-owned-bookstores-anti-racist-literature/,https://www.washingtonpost.com/resizer/Zk3UzLjRzm-KUJsi9Fd30BvGoiQ=/480x0/arc-anglerfish-washpost-prod-washpost.s3.amazonaws.com/public/VSGYAQFLGJEU7MXGYQUPHPXVLM.png,TRUE
"U.S. coronavirus cases and state maps: Tracking cases, deaths","Jun 26, 2020",Developer,"The death toll from covid-19 began to rise steadily in early March, then more sharply as the disease spread to every state and most U.S. territories.",https://www.washingtonpost.com/graphics/2020/national/coronavirus-us-cases-deaths/,https://www.washingtonpost.com/resizer/Du0ntB7TEH4yoJHuCkfuvUOHuDQ=/480x0/arc-anglerfish-washpost-prod-washpost.s3.amazonaws.com/public/GR6JLDETOZB23D7PFCISTZ6L2I.jpg,TRUE
Where Americans are still staying at home the most,"May 6, 2020",Developer,"The majority of Americans are still spending much more of their time at home than before the pandemic. But in some regions of the U.S. people are moving around more than they were in March and April, even in areas where coronavirus stay-at-home restrictions haven’t lifted.",https://www.washingtonpost.com/graphics/2020/national/map-us-still-staying-home-coronavirus/,https://www.washingtonpost.com/resizer/My4al9mEjzEPRgLzJhLP4TYxSm8=/480x0/arc-anglerfish-washpost-prod-washpost.s3.amazonaws.com/public/QX364SWW3ZE2DFBLDHWGAFXPYY.png,TRUE
Super Tuesday Democratic primary exit polls and analysis,"Mar 4, 2020",Developer,"See the strengths and weaknesses of each Democratic candidate, according to surveys of voters as they exited randomly selected voting sites in Super Tuesday states.",https://www.washingtonpost.com/graphics/politics/exit-polls-2020-super-tuesday-primary/,https://www.washingtonpost.com/resizer/8zZXU6d9yK-4Z3pdYBYs3oApDBQ=/480x0/arc-anglerfish-washpost-prod-washpost.s3.amazonaws.com/public/KEONUE5RXJBJ3J4AMYT5T5GDG4.jpg,TRUE
Their 2018 win was historic. What have these Democrats accomplished?,"Jan 30, 2020",Reporter,It's been a year since the wave election gave the House the youngest and most diverse group of lawmakers ever.,https://www.washingtonpost.com/graphics/2020/politics/house-freshman-class/,https://www.washingtonpost.com/resizer/oCE1u1NNKzqtOmo2yDdU_pXfRA8=/480x0/arc-anglerfish-washpost-prod-washpost.s3.amazonaws.com/public/JGV77UAKZNGHVL46T6ZXQWPYB4.jpg,TRUE
Quiz: Which of these 2020 Democrats agrees with you most?,"Jan 26, 2020",Developer,"The Post has asked each Democratic candidate where they stand on more than 85 policy questions. Now, it’s your turn to answer.",https://www.washingtonpost.com/graphics/politics/policy-2020/quiz-which-candidate-agrees-with-me/,https://www.washingtonpost.com/resizer/68hSDVHtUNO1s9agQHxCsEw9V14=/480x0/arc-anglerfish-washpost-prod-washpost.s3.amazonaws.com/public/A4CH236JGZGFTCVMQSULLOQVUU.jpg,TRUE
How the opioid epidemic evolved,"Dec 23, 2019",Reporter,"An exclusive analysis of county-level data shows the predominant cause of opioid overdose deaths shifted between pills, heroin and fentanyl as the epidemic got worse.",https://www.washingtonpost.com/graphics/2019/investigations/opioid-pills-overdose-analysis/,https://www.washingtonpost.com/resizer/6qlKZ0Q1Wp-TrzKehyJAppb1LwU=/480x0/arc-anglerfish-washpost-prod-washpost.s3.amazonaws.com/public/5J3D6MBFUUI6VHGJ4GOPXSD6KE.jpg,TRUE
More and deadlier: Mass shooting trends in America,"Aug 5, 2019",Reporter / content lead,"Four or more people have been killed in a mass shooting every 47 days, on average, since June 17, 2015 when a young white supremacist killed nine people at a historic African American church in Charleston, S.C. This weekend, the 30th and 31st such shootings since then took place just 13 hours apart.",https://www.washingtonpost.com/nation/2019/08/05/more-deadlier-mass-shooting-trends-america/,https://www.washingtonpost.com/resizer/RWfwRJ-sgL17hjiecGSKr2o30XM=/480x0/arc-anglerfish-washpost-prod-washpost.s3.amazonaws.com/public/NUXGBVJ6Z5DY3ENZ4JGOIQDHEE.jpg,TRUE
Who talked the most during the second Democratic debate,"Jul 29, 2019",Reporter,"Twenty contenders jostled for attention on the national stage, and CNN’s moderators wielded a heavy hand in policing their time — and provoking confrontation.",https://www.washingtonpost.com/graphics/2019/politics/who-spoke-most-at-democratic-debate-july/?itid=ap_brittanyrenee%20mayes,https://www.washingtonpost.com/resizer/p7mMcokh9ab4TgKF5J8S5VKg2Tw=/480x0/arc-anglerfish-washpost-prod-washpost.s3.amazonaws.com/public/EQP35WVSLUI6TLGIDWCHXLGKOM.jpg,TRUE
"Rituals, Norms And Other Ways To Build A Healthy Work Culture","May 20, 2019",Writer,Thinking about what “work family” means—and your own role within it. Promo image from WOCinTech Chat.,https://source.opennews.org/articles/healthy-work-culture-rituals-norms/,workplace-culture.jpg,TRUE
Rebuilding Notre Dame: The Next Steps For Paris’s Famous Cathedral,"April 18, 2019",Reporter,"What experts say will need to happen to save Notre Dame through scrollytelling, 3d models and other graphics.",https://www.washingtonpost.com/graphics/2019/world/rebuilding-notre-dame/,notre-dame.jpg,TRUE
Do ‘One-And-Done’ Teams Succeed In March?,"March 20, 2019",Reporter,This story is a deep dive into March Madness tournament statistics to answer the question many are asking: do one-and-done players win championships?,https://www.washingtonpost.com/graphics/2019/sports/march-madness-one-and-dones/,one-and-dones.jpg,TRUE
The History Of U.S. Border Apprehensions,"Jan. 10, 2019",Reporter,"Following President Trump’s nationally televised plea to build a border wall, we look at the modern history of the arrest of migrants attempting to enter the United States without authorization.",https://www.washingtonpost.com/graphics/2019/national/trump-border-wall-arrests/,border-wall.jpg,TRUE
Does sports glory create a spike in college applications? It’s not a slam dunk.,"Dec 6, 2018",Developer,"At times, a college experiences a spike in applications after a football or basketball success. It’s known as the ‘Flutie Effect.’",https://www.washingtonpost.com/graphics/2018/sports/ncaa-applicants/,ncaa-championships.jpg,TRUE
2018 Voter Poll Results,"Nov 11, 2018",Developer,"During various elections, exit polls show the demographics of voters. Using AP VoteCast, The Post continually live-published results throughout election night.",https://www.washingtonpost.com/graphics/2018/politics/voter-polls/georgia.html,midterms-2016.jpg,TRUE
The U.S. Voting System Remains Vulnerable 6 Months Before Election Day. What Now?,"May 8, 2018",Developer,"Since the hacks during the 2016 election took place, voting machine cybersecurity is a notable topic. Learn about what your county uses to vote and whether or not it can be verified for top voting machine security.",https://www.npr.org/2018/05/08/599452050/the-u-s-voting-system-remains-vulnerable-6-months-before-election-day-what-now#interactive-intro,voting-machines.png,TRUE
Turning The Tables: The 150 Greatest Albums Made By Women (As Chosen By You),"April 9, 2018",Data analyst,"NPR Music wrapped up their first season of Turning Tables with a listeners poll. Using a Google Form, GNU Make, Dedupe.io and OpenRefine, we took user-submitted data, cleaned and ranked the albums to compile the final results. ",https://www.npr.org/2018/04/09/600116052/turning-the-tables-the-150-greatest-albums-made-by-women-as-chosen-by-you,turningthetables.png,TRUE
The Business Of Being Cardi B,"April 5, 2018",Developer,Cardi B has an explosive personality that's helped her climb to the top. Here's a look at her major milestones.,https://www.npr.org/sections/therecord/2018/04/05/599592959/the-business-of-being-cardi-b,charti-b.png,TRUE
Olympic Host Pyeongchang Steps Into The Global Spotlight,"Feb. 9, 2018",Map maker / designer,"For the 2018 Winter Olympics, I created a map of South Korea to highlight the location of the games using QGIS and Illustrator.",https://www.npr.org/sections/thetorch/2018/02/09/584425498/pyeongchang-not-pyongyang-the-place-hosting-the-winter-olympics,olympic-roster.jpg,FALSE
"Cryptocurrency Investors Worry, Wait After Bitcoin Price Drop","January 18, 2018",Developer,"Since mid-November, the value of bitcoin — shown in U.S. dollars, according to Bitcoinity.org — has rocketed up and plummeted.",https://www.npr.org/sections/thetwo-way/2018/01/18/578586738/cryptocurrency-investors-worry-wait-after-bitcoin-price-drop,bitcoin-value.png,FALSE
Poll Results: All Songs Considered Listeners' 100 Favorite Albums Of 2017,"Dec. 18, 2017",Data analyst,"Each year, All Songs Considered asks listeners to send in their favorite albums of the year. In 2016, the Visuals team used a multitude of languages and frameworks to weight and rank the top albums. In 2017, myself and a senior developer streamlined the process using Python and Dedupe.io. ",https://www.npr.org/sections/allsongs/2017/12/18/570799909/poll-results-all-songs-considered-listeners-100-favorite-albums-of-2017,allsongsconsidered.jpg,TRUE
New Report Shows 64 Of 195 Countries Aren't Meeting A Basic Vaccination Target,"July 25, 2017",Developer and data analyst,"When the WHO released global immunization data, the Visuals team worked with Goats and Soda to produce data visualization. I used textures.js to highlight conflict time periods.",https://www.npr.org/sections/goatsandsoda/2017/07/25/538539473/new-report-shows-64-of-195-countries-arent-meeting-basic-vaccination-target?utm_source=dlvr.it&utm_medium=twitter,global-immunization.png,FALSE
